CustomerID,recency,frequency,monetary,avg_basket,unique_products,kmeans_cluster,dbscan_cluster
12346.0,325,1,77183.6,77183.6,1,0,-1
12347.0,1,7,4310.0,23.681318681318682,103,1,0
12348.0,74,4,1797.24,57.97548387096774,22,0,0
12349.0,18,1,1757.55,24.076027397260273,73,1,0
12350.0,309,1,334.4,19.670588235294115,17,0,0
12352.0,35,8,2506.04,29.482823529411764,59,1,0
12353.0,203,1,89.0,22.25,4,0,0
12354.0,231,1,1079.4,18.610344827586207,58,0,0
12355.0,213,1,459.4,35.33846153846154,13,0,0
12356.0,22,3,2811.43,47.65135593220339,53,1,0
12357.0,32,1,6207.67,47.38679389312977,131,1,-1
12358.0,1,2,1168.06,61.47684210526315,13,1,-1
12359.0,57,4,6372.58,25.695887096774193,214,1,0
12360.0,51,3,2662.06,20.63612403100775,105,1,0
12361.0,286,1,189.9,18.990000000000002,10,0,0
12362.0,2,10,5226.23,19.647481203007516,201,1,0
12363.0,109,2,552.0,24.0,23,0,0
12364.0,7,4,1313.1,15.448235294117646,70,1,0
12365.0,290,2,641.38,29.153636363636362,22,0,0
12367.0,3,1,168.9,15.354545454545455,11,0,0
12370.0,50,4,3545.69,21.231676646706585,143,1,0
12371.0,44,2,1887.96,29.96761904761905,63,1,0
12372.0,71,3,1298.04,24.962307692307693,34,0,0
12373.0,310,1,364.6,26.042857142857144,14,0,0
12374.0,24,1,742.9300000000001,22.513030303030305,33,0,0
12375.0,10,2,457.5,26.91176470588235,14,0,0
12377.0,314,2,1628.12,21.144415584415583,72,0,0
12378.0,129,1,4008.62,18.30420091324201,219,1,-1
12379.0,81,2,852.24,21.306,39,0,0
12380.0,21,4,2724.81,26.200096153846154,77,1,0
12381.0,4,5,1845.31,21.21045977011494,70,1,0
12383.0,184,5,1850.56,18.69252525252525,84,1,0
12384.0,28,2,585.27,21.676666666666666,26,0,0
12386.0,337,2,401.9,40.19,10,0,0
12388.0,15,6,2780.66,27.8066,57,1,0
12390.0,79,1,549.84,17.1825,32,0,0
12391.0,21,1,460.89,4.6089,92,0,0
12393.0,71,4,1582.6000000000001,24.728125000000002,47,1,0
12394.0,63,2,1272.48,47.12888888888889,26,0,0
12395.0,18,12,3018.63,19.350192307692307,91,1,0
12397.0,35,2,2409.9,19.126190476190477,110,1,0
12398.0,45,1,1635.6599999999999,19.24305882352941,85,0,0
12399.0,118,4,1108.65,18.790677966101697,47,0,0
12401.0,302,1,84.3,16.86,5,0,0
12402.0,322,1,225.6,20.509090909090908,11,0,0
